School DBN,Type of School,Article.28,Article.28.Name,Article.31.Clininc.Onsite,Article.31.Provider,Funded.Article.31.Clinic,Community.School.w..MH.Funding,SRT,Promise.Zone,X100.Schools.Project,School.MH.Supervisor,School.MH.Consultant,School.Name,Address,lon,lat,geoAddress
16K455,Community School,X,NYU Langone/Lutheran Medical Center,X,NYU Lutheran,,Former Renewal,,,,,,Boys and Girls High School,"1700 FULTON STREET,BROOKLYN,NY,11213",-73.9316585,40.6789227,"1700 fulton st, brooklyn, ny 11213, usa"
16K627,Consultant Program,,.,,,,,,,,Marcia Chichester,Javonia Smith,Academy for Young Writers,"1065 ELTON STREET,BROOKLYN,NY,11208",-73.8740662,40.6572453,"1065 elton st, brooklyn, ny 11239, usa"
16K628,Consultant Program,,.,,,,,,,,Marcia Chichester,Cyre Bridgewater,Spring Creek Community School,"1065 ELTON STREET,BROOKLYN,NY,11208",-73.8740662,40.6572453,"1065 elton st, brooklyn, ny 11239, usa"
16K688,Community School,,.,X,Brooklyn Center for Psychotherapy,X,Other,,,X,,,The Brooklyn Academy of Global Finance,"125 STUYVESANT AVENUE,BROOKLYN,NY,11221",-73.9332768,40.6916202,"125 stuyvesant ave, brooklyn, ny 11221, usa"
17K002,Consultant Program,,.,,,,,,,,Marcia Chichester,Thanecha Senat,Parkside Preparatory Academy,"655 PARKSIDE AVENUE,BROOKLYN,NY,11226",-73.9514618,40.6563887,"655 parkside ave, brooklyn, ny 11226, usa"
17K006,Consultant Program,,.,,,,,,,,Marcia Chichester,Thanecha Senat,Norma Adams Clemons Academy,"43 SNYDER AVENUE,BROOKLYN,NY,11226",-73.9564633,40.6491208,"43 snyder ave, brooklyn, ny 11226, usa"
17K012,Consultant Program,,.,,,,,,,,Marcia Chichester,Sharon Teitelbaum,Dr. Jacqueline Peek-Davis School,"430 HOWARD AVENUE,BROOKLYN,NY,11233",-73.919862,40.6730157,"430 howard ave, brooklyn, ny 11233, usa"
17K091,Consultant Program,,.,,,,,,,,Marcia Chichester,Thanecha Senat,P.S. 091 The Albany Avenue School,"532 ALBANY AVENUE,BROOKLYN,NY,11203",-73.9402559,40.661782,"532 albany ave, brooklyn, ny 11203, usa"
17K092,Consultant Program,,.,,,,,,,,Marcia Chichester,Rebeca Chen Ma,Brooklyn Gardens Elementary School,"574 DUMONT AVENUE,BROOKLYN,NY,11207",-73.8976315,40.6655954,"574 dumont ave, brooklyn, ny 11207, usa"
17K122,Consultant Program,,.,,,,,,,,Marcia Chichester- IC,Danielle Lambert,Multicultural High School,"999 JAMAICA AVENUE,BROOKLYN,NY,11208",-73.8690129,40.692915,"999 jamaica ave, brooklyn, ny 11208, usa"
17K138,Consultant Program,,.,,,,,,,,Marcia Chichester,Thanecha Senat,P.S. 138 Brooklyn,"760 PROSPECT PLACE,BROOKLYN,NY,11216",-73.9513202,40.6737453,"760 prospect pl, brooklyn, ny 11216, usa"
17K161,Consultant Program,,.,,,,,,,,Marcia Chichester,Sharon Teitelbaum,Brooklyn Lab School,"999 JAMAICA AVENUE,BROOKLYN,NY,11208",-73.8690129,40.692915,"999 jamaica ave, brooklyn, ny 11208, usa"
17K181,Consultant Program,,.,,,,,X,,,Marcia Chichester,Rebeca Chen Ma,P.S. 181 Brooklyn,"1023 NEW YORK AVENUE,BROOKLYN,NY,11203",-73.9459934,40.6480961,"1023 new york ave, brooklyn, ny 11203, usa"
17K189,Consultant Program,,.,,,,,,,,Marcia Chichester,Sharon Teitelbaum,Cypress Hills Collegiate Preparatory School,"999 JAMAICA AVENUE,BROOKLYN,NY,11208",-73.8690129,40.692915,"999 jamaica ave, brooklyn, ny 11208, usa"
17K191,Consultant Program,,.,,,,,,,,Marcia Chichester,Thanecha Senat,P.S. 191 Paul Robeson,"1600 PARK PLACE,BROOKLYN,NY,11233",-73.9241269,40.6718411,"1600 park pl, brooklyn, ny 11233, usa"
17K221,Consultant Program,,.,,,,,,,,Marcia Chichester,Thanecha Senat,P.S. 221 Toussaint L'Ouverture,"791 EMPIRE BOULEVARD,BROOKLYN,NY,11213",-73.9360397,40.6639642,"791 empire blvd, brooklyn, ny 11213, usa"
17K241,Consultant Program,,.,,,,,,,,Marcia Chichester,Thanecha Senat,P.S. 241 Emma L. Johnston,"976 PRESIDENT STREET,BROOKLYN,NY,11225",-73.9606878,40.6688936,"976 president st, brooklyn, ny 11225, usa"
17K249,Consultant Program,,.,,,,,,,,Marcia Chichester,Sharon Teitelbaum,P.S. 249 The Caton,"18 MARLBOROUGH ROAD,BROOKLYN,NY,11226",-73.9663816,40.6497568,"18 marlborough rd, brooklyn, ny 11226, usa"
17K289,Consultant Program,,.,,,,,,,,Marcia Chichester,Sharon Teitelbaum,P.S. 289 George V. Brower,"900 ST MARKS AVENUE,BROOKLYN,NY,11213",-73.9424573,40.6741463,"900 st marks ave, brooklyn, ny 11213, usa"
17K340,Consultant Program,,.,,,,,,,,Jessica McJunkin-Flatts,Haelinn Seu,I.S. 340,"227 STERLING PLACE,BROOKLYN,NY,11238",-73.9697873,40.6762559,"227 sterling pl, brooklyn, ny 11238, usa"
17K352,Community School,,.,X,Interborough,X,RISE/AIDP,,,,,,Ebbets Field Middle School,"46 MCKEEVER PLACE,BROOKLYN,NY,11225",-73.9595858,40.6648721,"46 mckeever pl, brooklyn, ny 11225, usa"
17K354,Community School,,.,,,,Other,,,X,,,The School of Integrated Learning,"1224 PARK PLACE,BROOKLYN,NY,11213",-73.9372221,40.6723193,"1224 park pl, brooklyn, ny 11213, usa"
17K375,Consultant Program,,.,,,,,,,,Marcia Chichester,Sharon Teitelbaum,P.S. 375 Jackie Robinson School,"46 MCKEEVER PLACE,BROOKLYN,NY,11225",-73.9595858,40.6648721,"46 mckeever pl, brooklyn, ny 11225, usa"
17K394,Consultant Program,,.,,,,,,,,Marcia Chichester,Sharon Teitelbaum,M.S. K394,"188 ROCHESTER AVENUE,BROOKLYN,NY,11213",-73.9283085,40.6729354,"188 rochester ave, brooklyn, ny 11213, usa"
17K398,Consultant Program,,.,,,,,,,,Marcia Chichester,Thanecha Senat,P.S. 398 Walter Weaver,"60 EAST  94 STREET,BROOKLYN,NY,11212",-73.9278074,40.663907,"60 e 94th st, brooklyn, ny 11212, usa"
17K399,Consultant Program,,.,,,,,,,,Marcia Chichester,Rebeca Chen Ma,P.S. 399 Stanley Eugene Clark,"2707 ALBEMARLE ROAD,BROOKLYN,NY,11226",-73.9518254,40.6482682,"2707 albemarle rd, brooklyn, ny 11226, usa"
17K531,PIP,X,NYU Langone/Lutheran Medical Center,X,NYU Lutheran,,,,,,,,"School for Human Rights, The","600 KINGSTON AVENUE,BROOKLYN,NY,11203",-73.9431462,40.6593652,"600 kingston ave, brooklyn, ny 11203, usa"
17K532,Consultant Program,,.,,,,,,,,Marcia Chichester,Sharon Teitelbaum,Franklin Delano Roosevelt High School,"5800 20 AVENUE,BROOKLYN,NY,11204",-73.9825025,40.6213242,"5800 20th ave, brooklyn, ny 11204, usa"
17K548,PIP,,.,,,,,,,X,,,Brooklyn School for Music & Theatre,"883 CLASSON AVENUE,BROOKLYN,NY,11225",-73.9610286,40.6700407,"883 classon ave, brooklyn, ny 11225, usa"
